202010001;MATEO;SALAZAR PAREDES;71324567;23;987654321;2
202010002;LUCAS;MENDOZA REYES;74891234;24;986543210;1
202010003;BRUNO;CASTILLO TORRES;72983456;22;985432109;2
202010004;VALENTINA;RAMOS VARGAS;75678123;20;984321098;1
202010005;EMILIO;FERNANDEZ LOPEZ;74561289;28;983210987;2
202010006;TOMATE;GARCIA PONCE;73218945;25;982109876;1
202010007;SEBASTIAN;CARRASCO DIAZ;70123458;21;981098765;0
202010008;SOFIA;MORALES LEON;76981234;19;980987654;0
202010009;DANIEL;MILLA MAMANI;75596884;60;969696966;1
202010011;OSCAR;PAREDES;12312333;32;987666544;0
202010012;OSCAR;PAREDES;12312332;32;987666544;0
